SampleID	sample_ID	pnid	treatment	reads_number	time	gel
DB18.184	MGV1-G0	MGV1	G0	16	0	G
DB18.185	MGV1-G5	MGV1	G5	8844	5	G
DB18.186	MGV1-NG5	MGV1	NG5	12380	5	N
DB18.187	MGV1-NG0	MGV1	NG0	13836	0	N
DB18.188	MGV2-NG0	MGV2	NG0	3760	0	N
DB18.189	MGV2-NG5	MGV2	NG5	5440	5	N
DB18.190	MGV2-G0	MGV2	G0	#N/A	0	G
DB18.191	MGV2-G5	MGV2	G5	#N/A	5	G
DB18.192	MGV2-24h	MGV2	24h	10993	24	h
DB18.193	MGV3-NG0	MGV3	NG0	2504	0	N
DB18.194	MGV3-NG5	MGV3	NG5	4910	5	N
DB18.195	MGV3-G0	MGV3	G0	3923	0	G
DB18.196	MGV3-G5	MGV3	G5	218	5	G
DB18.197	MGV3-24h	MGV3	24h	4	24	h
DB18.288	MGV4-NG0	MGV4	NG0	2706	0	N
DB18.289	MGV4-NG5	MGV4	NG5	8611	5	N
DB18.290	MGV4-G0	MGV4	G0	9101	0	G
DB18.291	MGV4-G5	MGV4	G5	17	5	G
DB18.292	MGV4-24h	MGV4	24h	3348	24	h
DB18.293	MGV5-NG0	MGV5	NG0	1521	0	N
DB18.294	MGV5-NG5	MGV5	NG5	8056	5	N
DB18.295	MGV5-G0	MGV5	G0	11252	0	G
DB18.296	MGV5-G5	MGV5	G5	11139	5	G
DB18.297	MGV5-24h	MGV5	24h	6684	24	h
DB18.298	MGV6-NG0	MGV6	NG0	2797	0	N
DB18.299	MGV6-NG5	MGV6	NG5	79	5	N
DB18.300	MGV6-G0	MGV6	G0	21	0	G
DB18.301	MGV6-G5	MGV6	G5	125	5	G
DB18.302	MGV6-24h	MGV6	24h	10358	24	h
DB18.303	MGV7-G0	MGV7	G0	14628	0	G
DB18.304	MGV7-G5	MGV7	G5	11514	5	G
DB18.305	MGV7-NG0	MGV7	NG0	12068	0	N
DB18.306	MGV7-NG5	MGV7	NG5	8711	5	N
DB18.307	MGV7-24h	MGV7	24h	8773	24	h
DB18.308	MGV8-NG0	MGV8	NG0	#N/A	0	N
DB18.309	MGV8-G5	MGV8	G5	11	5	G
DB18.310	MGV8-NG5	MGV8	NG5	15064	5	N
DB18.311	MGV8-G0	MGV8	G0	3265	0	G
